subject,bias,absolute,group,group_c,time,time_c,hand,hand_c,degree
5,-3,3,control,"-0,5",pre,"-0,5",left,"-0,5",8
5,0,0,control,"-0,5",pre,"-0,5",left,"-0,5",-2
5,8,8,control,"-0,5",pre,"-0,5",right,"0,5",4
5,0,0,control,"-0,5",post,"0,5",left,"-0,5",18
5,2,2,control,"-0,5",post,"0,5",left,"-0,5",2
5,11,11,control,"-0,5",post,"0,5",right,"0,5",22
5,7,7,control,"-0,5",post,"0,5",right,"0,5",30
5,-5,5,control,"-0,5",post,"0,5",left,"-0,5",-8
5,"0,5","0,5",control,"-0,5",post,"0,5",right,"0,5",-20
5,-8,8,control,"-0,5",post,"0,5",left,"-0,5",-24
5,5,5,control,"-0,5",post,"0,5",right,"0,5",6
5,0,0,control,"-0,5",post,"0,5",right,"0,5",-4
5,-6,6,control,"-0,5",post,"0,5",left,"-0,5",-16
5,1,1,control,"-0,5",post,"0,5",right,"0,5",-28
5,0,0,control,"-0,5",post,"0,5",left,"-0,5",10
5,-2,2,control,"-0,5",post,"0,5",right,"0,5",-12
5,0,0,control,"-0,5",post,"0,5",right,"0,5",14
5,-3,3,control,"-0,5",post,"0,5",left,"-0,5",26
5,-3,3,control,"-0,5",post,"0,5",left,"-0,5",-6
5,"-2,5","2,5",control,"-0,5",post,"0,5",left,"-0,5",-14
5,1,1,control,"-0,5",post,"0,5",left,"-0,5",4
5,-4,4,control,"-0,5",post,"0,5",right,"0,5",-18
5,-4,4,control,"-0,5",post,"0,5",left,"-0,5",-30
5,"1,5","1,5",control,"-0,5",post,"0,5",right,"0,5",16
5,-4,4,control,"-0,5",post,"0,5",right,"0,5",-26
5,-3,3,control,"-0,5",post,"0,5",right,"0,5",24
5,-1,1,control,"-0,5",post,"0,5",left,"-0,5",28
5,-2,2,control,"-0,5",post,"0,5",right,"0,5",-2
5,"-4,5","4,5",control,"-0,5",post,"0,5",left,"-0,5",-22
5,-4,4,control,"-0,5",post,"0,5",left,"-0,5",12
5,2,2,control,"-0,5",post,"0,5",right,"0,5",8
5,"-2,5","2,5",control,"-0,5",post,"0,5",right,"0,5",-10
5,-1,1,control,"-0,5",post,"0,5",left,"-0,5",20
6,1,1,disturbance,"0,5",pre,"-0,5",right,"0,5",-20
6,6,6,disturbance,"0,5",pre,"-0,5",right,"0,5",6
6,-3,3,disturbance,"0,5",pre,"-0,5",left,"-0,5",10
6,-5,5,disturbance,"0,5",pre,"-0,5",left,"-0,5",-8
6,-7,7,disturbance,"0,5",pre,"-0,5",left,"-0,5",-16
6,6,6,disturbance,"0,5",pre,"-0,5",right,"0,5",-12
6,"2,5","2,5",disturbance,"0,5",pre,"-0,5",right,"0,5",-28
6,9,9,disturbance,"0,5",pre,"-0,5",right,"0,5",30
6,"-9,5","9,5",disturbance,"0,5",pre,"-0,5",left,"-0,5",-24
6,-4,4,disturbance,"0,5",pre,"-0,5",left,"-0,5",18
6,"8,5","8,5",disturbance,"0,5",pre,"-0,5",right,"0,5",-4
6,-5,5,disturbance,"0,5",pre,"-0,5",left,"-0,5",26
6,"-5,5","5,5",disturbance,"0,5",pre,"-0,5",left,"-0,5",2
6,"12,5","12,5",disturbance,"0,5",pre,"-0,5",right,"0,5",22
6,"13,5","13,5",disturbance,"0,5",pre,"-0,5",right,"0,5",14
6,"1,5","1,5",disturbance,"0,5",pre,"-0,5",right,"0,5",-26
6,-9,9,disturbance,"0,5",pre,"-0,5",left,"-0,5",-30
6,-7,7,disturbance,"0,5",pre,"-0,5",left,"-0,5",-6
6,-6,6,disturbance,"0,5",pre,"-0,5",left,"-0,5",-14
6,1,1,disturbance,"0,5",pre,"-0,5",left,"-0,5",20
6,6,6,disturbance,"0,5",pre,"-0,5",right,"0,5",-10
6,-5,5,disturbance,"0,5",pre,"-0,5",left,"-0,5",4
6,10,10,disturbance,"0,5",pre,"-0,5",right,"0,5",-2
6,"11,5","11,5",disturbance,"0,5",pre,"-0,5",right,"0,5",8
6,"10,5","10,5",disturbance,"0,5",pre,"-0,5",right,"0,5",24
6,-3,3,disturbance,"0,5",pre,"-0,5",left,"-0,5",12
6,13,13,disturbance,"0,5",pre,"-0,5",right,"0,5",16
6,-3,3,disturbance,"0,5",pre,"-0,5",left,"-0,5",28
6,"6,5","6,5",disturbance,"0,5",pre,"-0,5",right,"0,5",-18
6,-6,6,disturbance,"0,5",pre,"-0,5",left,"-0,5",-22
6,-4,4,disturbance,"0,5",post,"0,5",left,"-0,5",6
6,10,10,disturbance,"0,5",post,"0,5",right,"0,5",26
6,"6,5","6,5",disturbance,"0,5",post,"0,5",right,"0,5",-16
6,-8,8,disturbance,"0,5",post,"0,5",left,"-0,5",22
6,-9,9,disturbance,"0,5",post,"0,5",left,"-0,5",14
6,"-7,5","7,5",disturbance,"0,5",post,"0,5",left,"-0,5",-28
6,"10,5","10,5",disturbance,"0,5",post,"0,5",right,"0,5",18
6,-9,9,disturbance,"0,5",post,"0,5",left,"-0,5",-20
6,-7,7,disturbance,"0,5",post,"0,5",left,"-0,5",-12
6,"10,5","10,5",disturbance,"0,5",post,"0,5",right,"0,5",2
6,"7,5","7,5",disturbance,"0,5",post,"0,5",right,"0,5",10
6,"1,5","1,5",disturbance,"0,5",post,"0,5",right,"0,5",-24
6,6,6,disturbance,"0,5",post,"0,5",right,"0,5",-8
6,"-11,5","11,5",disturbance,"0,5",post,"0,5",left,"-0,5",-4
6,"-6,5","6,5",disturbance,"0,5",post,"0,5",left,"-0,5",30
6,-7,7,disturbance,"0,5",post,"0,5",left,"-0,5",-2
6,"-2,5","2,5",disturbance,"0,5",post,"0,5",left,"-0,5",-18
6,-4,4,disturbance,"0,5",post,"0,5",left,"-0,5",24
6,-3,3,disturbance,"0,5",post,"0,5",left,"-0,5",-26
6,-6,6,disturbance,"0,5",post,"0,5",left,"-0,5",16
6,10,10,disturbance,"0,5",post,"0,5",right,"0,5",-6
6,8,8,disturbance,"0,5",post,"0,5",right,"0,5",20
6,-10,10,disturbance,"0,5",post,"0,5",left,"-0,5",8
6,"-4,5","4,5",disturbance,"0,5",post,"0,5",left,"-0,5",-10
6,6,6,disturbance,"0,5",post,"0,5",right,"0,5",-22
6,11,11,disturbance,"0,5",post,"0,5",right,"0,5",12
6,9,9,disturbance,"0,5",post,"0,5",right,"0,5",28
6,6,6,disturbance,"0,5",post,"0,5",right,"0,5",-30
6,"7,5","7,5",disturbance,"0,5",post,"0,5",right,"0,5",-14
6,13,13,disturbance,"0,5",post,"0,5",right,"0,5",4
8,-4,4,disturbance,"0,5",pre,"-0,5",left,"-0,5",18
8,-4,4,disturbance,"0,5",pre,"-0,5",left,"-0,5",-8
8,-4,4,disturbance,"0,5",pre,"-0,5",right,"0,5",6
8,1,1,disturbance,"0,5",pre,"-0,5",right,"0,5",22
8,1,1,disturbance,"0,5",pre,"-0,5",right,"0,5",-28
8,-9,9,disturbance,"0,5",pre,"-0,5",left,"-0,5",2
8,-5,5,disturbance,"0,5",pre,"-0,5",left,"-0,5",-16
8,-1,1,disturbance,"0,5",pre,"-0,5",right,"0,5",14
8,-7,7,disturbance,"0,5",pre,"-0,5",right,"0,5",-12
8,-4,4,disturbance,"0,5",pre,"-0,5",left,"-0,5",26
8,-4,4,disturbance,"0,5",pre,"-0,5",right,"0,5",-20
8,-5,5,disturbance,"0,5",pre,"-0,5",right,"0,5",-4
8,-3,3,disturbance,"0,5",pre,"-0,5",right,"0,5",30
8,-9,9,disturbance,"0,5",pre,"-0,5",left,"-0,5",-24
8,-7,7,disturbance,"0,5",pre,"-0,5",left,"-0,5",10
8,-7,7,disturbance,"0,5",pre,"-0,5",left,"-0,5",-10
8,-6,6,disturbance,"0,5",pre,"-0,5",left,"-0,5",8
8,-3,3,disturbance,"0,5",pre,"-0,5",right,"0,5",4
8,-7,7,disturbance,"0,5",pre,"-0,5",left,"-0,5",-18
8,0,0,disturbance,"0,5",pre,"-0,5",right,"0,5",-22
8,-3,3,disturbance,"0,5",pre,"-0,5",right,"0,5",-6
8,-4,4,disturbance,"0,5",pre,"-0,5",right,"0,5",-14
8,-2,2,disturbance,"0,5",pre,"-0,5",right,"0,5",20
8,-4,4,disturbance,"0,5",pre,"-0,5",right,"0,5",28
8,-9,9,disturbance,"0,5",pre,"-0,5",left,"-0,5",-2
8,-10,10,disturbance,"0,5",pre,"-0,5",left,"-0,5",16
8,-8,8,disturbance,"0,5",pre,"-0,5",left,"-0,5",-26
8,-5,5,disturbance,"0,5",pre,"-0,5",left,"-0,5",24
8,-3,3,disturbance,"0,5",pre,"-0,5",right,"0,5",-30
8,-5,5,disturbance,"0,5",pre,"-0,5",right,"0,5",12
8,-8,8,disturbance,"0,5",post,"0,5",left,"-0,5",-4
8,-8,8,disturbance,"0,5",post,"0,5",left,"-0,5",-12
8,-4,4,disturbance,"0,5",post,"0,5",right,"0,5",18
8,-10,10,disturbance,"0,5",post,"0,5",left,"-0,5",-20
8,-8,8,disturbance,"0,5",post,"0,5",left,"-0,5",22
8,0,0,disturbance,"0,5",post,"0,5",right,"0,5",-24
8,-5,5,disturbance,"0,5",post,"0,5",right,"0,5",-8
8,-13,13,disturbance,"0,5",post,"0,5",left,"-0,5",-28
